name,longitude,latitude,transport_modes
"Alchenstorf, Wil",7.6502625484,47.11353769149,BUS
"Aldesago, Arcate",8.98043368234,46.00974806827,BUS
"Aldesago, Narbostra",8.97752293443,46.00863625701,BUS
"Aldesago, Paese",8.97951232121,46.00729544924,BUS
"Aldesago, Pontaccio",8.97664677277,46.0087022152,BUS
"Aldesago, Ronchée",8.98006495079,46.00995105684,BUS
"Aldesago, Via Rava",8.97995202497,46.00915185141,BUS
"Algetshausen, Dorf",9.10695531189,47.44773999983,BUS
"Alikon, Buchacher",8.35848854335,47.1938739327,BUS
"Alikon, Oberalikon",8.35940105809,47.19935377527,BUS
All'Acqua,8.47416633972,46.48597222042,BUS
"Allaman, Château",6.39676141872,46.47149624449,BUS
"Allaman, Grand-Rue",6.39638113596,46.46974489677,BUS
"Allaman, gare",6.3996488031,46.47587445794,BUS
"Allaman, gare sud",6.39979343311,46.47507866281,BUS
"Alle, centre sportif / loisirs",7.12138406679,47.42485390038,BUS
"Alle, poste/gare",7.12864885226,47.42450492065,BUS
"Alle, rue de l'église",7.12884949984,47.42645719918,BUS
"Alle, zone industrielle",7.14635079653,47.43007363366,BUS
"Allenlüften, Dorf",7.2683,46.94651,BUS
"Allens, village",6.50998584461,46.59996184946,BUS
"Allenwinden, Dorf",8.55547094647,47.16442486402,BUS
"Allenwinden, Egg",8.55346966454,47.16966176459,BUS
"Allenwinden, Grüt",8.55347470836,47.16673812252,BUS
"Allenwinden, Inkenberg",8.54957227801,47.17572654917,BUS
"Allenwinden, St. Meinrad",8.5581443002,47.15981107871,BUS
"Allerheiligenberg, Bergwirts.",7.81784854632,47.35207967946,BUS
"Allerheiligenberg, Endhalt",7.81402564072,47.35237097776,BUS
"Allières, gare",7.00772626222,46.46929252798,BUS
